PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,EMPUNAVAILREASON,EMPPOP,EMPRESPONSE,EMPSAMPLE,EMPRESP_RATE,EMPAGG,EMPSBJ,WORKSTUDY,STUDY,UNEMP,PREVWORKSTUD,BOTH,NOAVAIL,WORK
10007803,10007803,UAHFGRNJITN,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFGRNJITN,1,1,10,10,15,75,23,CAH19-04-02,95,15,0,0,5,5,75
10007803,10007803,UAHFGRNJMEH,1,1,10,10,15,75,23,CAH19-04-02,95,15,0,0,5,5,75
10007803,10007803,UAHFGRNJMEH,1,1,55,55,85,66,13,CAH20-01-01,93,30,0,5,11,2,52
10007803,10007803,UAHFGRNJMES,1,1,10,10,15,75,23,CAH19-04-02,95,15,0,0,5,5,75
10007803,10007803,UAHFGRNJMES,1,1,15,15,20,80,23,CAH19-04-07,90,5,5,5,10,5,75
10007803,10007803,UAHFGRNJMGT,1,1,20,20,30,55,13,CAH17-01-01,85,10,0,10,10,5,65
10007803,10007803,UAHFGRNJMGT,1,1,10,10,15,75,23,CAH19-04-02,95,15,0,0,5,5,75
10007803,10007803,UAHFGRNJMHI,1,0,10,10,15,75,23,CAH19-04-02,95,15,0,0,5,5,75
10007803,10007803,UAHFGRNJMHI,1,0,55,55,85,66,13,CAH20-01-01,93,30,0,5,11,2,52
10007803,10007803,UAHFGRNJMTH,1,0,50,50,80,60,13,CAH09-01-01,95,20,0,0,5,0,65
10007803,10007803,UAHFGRNJMTH,1,0,10,10,15,75,23,CAH19-04-02,95,15,0,0,5,5,75
10007803,10007803,UAHFGRNJPHI,1,1,10,10,15,75,23,CAH19-04-02,95,15,0,0,5,5,75
10007803,10007803,UAHFGRNJPHI,1,1,20,20,35,55,13,CAH20-02-01,95,25,0,5,15,0,50
10007803,10007803,UAHFGRNJPRS,1,1,10,10,15,75,23,CAH19-04-02,95,15,0,0,5,5,75
10007803,10007803,UAHFGRNJPRS,1,1,15,15,20,80,23,CAH19-04-07,90,5,5,5,10,5,75
10007803,10007803,UAHFGRNJRSN,1,0,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFGRNJRSN,1,0,10,10,15,75,23,CAH19-04-02,95,15,0,0,5,5,75
10007803,10007803,UAHFGRNJSAN,1,1,10,10,15,65,13,CAH15-01-04,90,10,0,0,25,10,55
10007803,10007803,UAHFGRNJSAN,1,1,10,10,15,75,23,CAH19-04-02,95,15,0,0,5,5,75
10007803,10007803,UAHFGRNJSPN,1,1,10,10,15,75,23,CAH19-04-02,95,15,0,0,5,5,75
10007803,10007803,UAHFGRNJSPN,1,1,10,10,15,80,13,CAH19-04-04,85,5,5,0,15,10,65
10007803,10007803,UAHFGRNJSUD,1,1,10,10,15,75,23,CAH19-04-02,95,15,0,0,5,5,75
10007803,10007803,UAHFGRNJSUD,1,1,15,15,20,80,13,CAH26-01-02,100,30,0,0,10,0,60
10007803,10007803,UAHFGRNJTHS,1,1,10,10,15,75,23,CAH19-04-02,95,15,0,0,5,5,75
10007803,10007803,UAHFGRNJTHS,1,1,15,15,25,60,23,CAH20-02-02,95,15,0,5,5,0,75
10007803,10007803,UAHFGRNSGRN,1,1,10,10,15,75,23,CAH19-04-02,95,15,0,0,5,5,75
10007803,10007803,UAHFGRSTGRS,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFGRSTGRS,1,1,10,10,15,75,23,CAH19-04-02,95,15,0,0,5,5,75
10007803,10007803,UAHFGRSTGRS,1,1,10,10,15,80,13,CAH19-04-04,85,5,5,0,15,10,65
10007803,10007803,UAHFGSATGSA,1,1,10,10,15,75,23,CAH19-04-02,95,15,0,0,5,5,75
