,PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,EMPPOP,EMPRESPONSE,EMPSAMPLE,EMPRESP_RATE,WORKSTUDY,STUDY,UNEMP,PREVWORKSTUD,BOTH,NOAVAIL,WORK
208,10000291,10000291,K00518,1,30.0,30.0,45.0,65.0,85.0,5.0,10.0,5.0,15.0,5.0,65.0
209,10000291,10000291,K00519,1,15.0,15.0,25.0,60.0,85.0,0.0,5.0,0.0,5.0,5.0,80.0
210,10000291,10000291,K00520,1,75.0,75.0,110.0,68.0,86.0,5.0,8.0,4.0,12.0,3.0,68.0
211,10000291,10000291,K00521,1,45.0,45.0,75.0,60.0,85.0,10.0,5.0,0.0,10.0,10.0,70.0
212,10000291,10000291,K00522,1,45.0,45.0,75.0,60.0,85.0,10.0,5.0,0.0,10.0,10.0,70.0
213,10000291,10000291,K00527,1,150.0,150.0,245.0,61.0,94.0,1.0,1.0,0.0,7.0,5.0,87.0
214,10000291,10000291,K00527,1,30.0,30.0,40.0,70.0,100.0,0.0,0.0,0.0,5.0,0.0,95.0
215,10000291,10000291,K00528,1,35.0,35.0,50.0,70.0,95.0,0.0,0.0,0.0,10.0,5.0,90.0
216,10000291,10000291,K00528,1,30.0,30.0,40.0,70.0,100.0,0.0,0.0,0.0,5.0,0.0,95.0
217,10000291,10000291,K00531,1,65.0,65.0,115.0,60.0,89.0,15.0,3.0,3.0,16.0,5.0,57.0
218,10000291,10000291,K00532,1,65.0,65.0,115.0,60.0,89.0,15.0,3.0,3.0,16.0,5.0,57.0
219,10000291,10000291,K00533,1,65.0,65.0,115.0,60.0,89.0,15.0,3.0,3.0,16.0,5.0,57.0
220,10000291,10000291,K00533,1,65.0,65.0,110.0,60.0,87.0,11.0,2.0,3.0,17.0,8.0,59.0
221,10000291,10000291,K00534,1,65.0,65.0,115.0,60.0,89.0,15.0,3.0,3.0,16.0,5.0,57.0
222,10000291,10000291,K00534,1,65.0,65.0,110.0,60.0,87.0,11.0,2.0,3.0,17.0,8.0,59.0
223,10000291,10000291,K00535,1,120.0,120.0,195.0,62.0,93.0,3.0,2.0,1.0,16.0,5.0,74.0
224,10000291,10000291,K00536,1,15.0,15.0,25.0,60.0,85.0,0.0,5.0,0.0,5.0,5.0,80.0
225,10000291,10000291,K00537,1,75.0,75.0,110.0,68.0,86.0,5.0,8.0,4.0,12.0,3.0,68.0
226,10000291,10000291,K00538,1,75.0,75.0,110.0,68.0,86.0,5.0,8.0,4.0,12.0,3.0,68.0
227,10000291,10000291,K00539,1,75.0,75.0,110.0,68.0,86.0,5.0,8.0,4.0,12.0,3.0,68.0
228,10000291,10000291,K00540,1,25.0,25.0,50.0,55.0,100.0,15.0,0.0,0.0,40.0,0.0,45.0
229,10000291,10000291,K00541,1,25.0,25.0,50.0,55.0,100.0,15.0,0.0,0.0,40.0,0.0,45.0
230,10000291,10000291,K00542,1,25.0,25.0,50.0,55.0,100.0,15.0,0.0,0.0,40.0,0.0,45.0
231,10000291,10000291,K00543,1,25.0,25.0,50.0,55.0,100.0,15.0,0.0,0.0,40.0,0.0,45.0
232,10000291,10000291,K00544,1,25.0,25.0,50.0,55.0,100.0,15.0,0.0,0.0,40.0,0.0,45.0
233,10000291,10000291,K00545,1,30.0,30.0,50.0,60.0,80.0,10.0,0.0,20.0,5.0,0.0,65.0
235,10000291,10000291,K00548,1,60.0,60.0,120.0,51.0,83.0,12.0,8.0,2.0,24.0,7.0,48.0
236,10000291,10000291,K00554,1,10.0,10.0,15.0,85.0,80.0,10.0,10.0,0.0,0.0,10.0,75.0
237,10000291,10000291,K00555,1,35.0,35.0,55.0,65.0,90.0,10.0,5.0,5.0,15.0,5.0,70.0
238,10000291,10000291,K00558,1,170.0,170.0,320.0,54.0,92.0,16.0,1.0,4.0,9.0,4.0,67.0
239,10000291,10000291,K00559,1,35.0,35.0,60.0,65.0,90.0,10.0,10.0,5.0,5.0,0.0,75.0
240,10000291,10000291,K00560,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
